"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1168","-7.9130666920915449E-1","-3.6153905370569799E-23","6.1634914945822383E-1","3.5760936793654774E-11","-2.1319406969319177E-1","6.5943284888509311E-11","2.5823180304164199E+0","6.2504940939966094E+0","2.7706276456161646E+1","1.5967153351332599E+0","1.215058560962404E-2"
"1167","-7.9073989874546002E-1","4.0182855411602912E-24","6.1706738045277876E-1","3.4515671773792989E-11","-2.1375936711296353E-1","6.3615631825105863E-11","2.5811790595215900E+0","6.2504959829232662E+0","2.7706284829119582E+1","1.5964856512105301E+0","1.215058560962404E-2"
"1166","-7.8903626158289275E-1","-1.2509964433931991E-23","6.1921815171578187E-1","3.4591896619758453E-11","-2.1545857707859076E-1","6.3475902792781851E-11","2.5777554861192900E+0","6.2505016686567529E+0","2.7706310032007782E+1","1.5957953291475300E+0","1.215058560962404E-2"
"1165","-7.8732765282224304E-1","-2.8407019835725683E-23","6.2136303463520570E-1","3.4831609966055393E-11","-2.1716274659690138E-1","6.3610748860730030E-11","2.5743219561538502E+0","6.2505073828712323E+0","2.7706335361142362E+1","1.5951031093471399E+0","1.215058560962404E-2"
"1164","-7.8561409435989538E-1","3.9816155683299213E-23","6.2350202189654602E-1","3.4372259751591632E-11","-2.1887185383777508E-1","6.2431919997414099E-11","2.5708785139237098E+0","6.2505131256324091E+0","2.7706360816814570E+1","1.5944090017031001E+0","1.215058560962404E-2"
"1163","-7.8389560804711389E-1","2.2576568086758730E-23","6.2563510629744046E-1","3.4208836965702647E-11","-2.2058587701571583E-1","6.1895021030948629E-11","2.5674252036351102E+0","6.2505188970065841E+0","2.7706386399318294E+1","1.5937130160860200E+0","1.215058560962404E-2"
"1162","-7.8217221568886208E-1","-2.1569868167109637E-23","6.2776228074608165E-1","3.3099911881610287E-11","-2.2230479439203912E-1","5.9688829995766954E-11","2.5639620694012502E+0","6.2505246970606470E+0","2.7706412108950030E+1","1.5930151623509099E+0","1.215058560962404E-2"
"1161","-7.8044393904422726E-1","-2.1654564258540905E-23","6.2988353826092858E-1","3.3887803800742509E-11","-2.2402858427334357E-1","6.0788618413253987E-11","2.5604891552414899E+0","6.2505305258620858E+0","2.7706437946008929E+1","1.5923154503319701E+0","1.215058560962404E-2"
"1160","-7.7871079982558533E-1","1.4789163339876656E-24","6.3199887196938487E-1","3.3462539654312187E-11","-2.2575722501293494E-1","5.9766732310405177E-11","2.5570065050805000E+0","6.2505363834789831E+0","2.7706463910796785E+1","1.5916138898354599E+0","1.215058560962404E-2"
"1159","-7.7697281969827059E-1","-4.3274523736910265E-23","6.3410827510688916E-1","3.4379975520825504E-11","-2.2749069501105995E-1","6.1106089495186743E-11","2.5535141627474900E+0","6.2505422699800377E+0","2.7706490003618107E+1","1.5909104906481100E+0","1.215058560962404E-2"
