"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1100","1.2199775808312245E+0","-1.7148440060156811E-26","2.0258375802185904E-18","-9.8643256191061093E-16","-4.2749410564244672E-1","-3.3990164101121321E-5","3.0137675138392201E+0","4.3105091455663960E+0","1.9106994784393514E+1","1.2788502563873500E+2","1.215058560962404E-2"
"1099","1.2199774585652763E+0","-1.3447667169727878E-27","-2.3595764653612559E-17","-1.0086928626263125E-15","-4.2749391077506366E-1","4.2514798907940422E-4","3.0137674167871902E+0","4.3105093453244834E+0","1.9106995669851962E+1","1.2788511674913900E+2","1.215058560962404E-2"
"1098","1.2199770492713258E+0","-2.0289678704874335E-27","-4.7477968840546545E-17","-1.7416857375730758E-15","-4.2749325844194441E-1","8.8428487783888811E-4","3.0137670918992199E+0","4.3105100140285977E+0","1.9106998633985803E+1","1.2788542174664001E+2","1.215058560962404E-2"
"1097","1.2199763529548793E+0","3.6344728092694471E-27","-8.0213634958993346E-17","1.6349865283769266E-16","-4.2749214864955987E-1","1.3434191367163394E-3","3.0137665391817698E+0","4.3105111516683614E+0","1.9107003676749034E+1","1.2788594062366001E+2","1.215058560962404E-2"
"1096","1.2199753696253088E+0","2.6942010936846683E-27","-4.9784837952348728E-17","-7.4794940981414528E-15","-4.2749058140891238E-1","1.8025494003533441E-3","3.0137657586457700E+0","4.3105127582262535E+0","1.9107010798063992E+1","1.2788667336757200E+2","1.215058560962404E-2"
"1095","1.2199740992958465E+0","2.4163201092551410E-27","-9.7400154092777948E-17","-2.6604900986971378E-15","-4.2748855673558472E-1","2.2616743035472893E-3","3.0137647503066600E+0","4.3105148336775576E+0","1.9107019997821126E+1","1.2788761996067700E+2","1.215058560962404E-2"
"1094","1.2199725419835878E+0","1.1642400828957635E-27","-2.0569133583172460E-16","2.8023541897874291E-15","-4.2748607464965660E-1","2.7207924813046382E-3","3.0137635141844199E+0","4.3105173779903323E+0","1.9107031275878839E+1","1.2788878038065700E+2","1.215058560962404E-2"
"1093","1.2199706977094864E+0","-6.5087206915854957E-28","-2.4612846098613155E-16","3.2419429754830908E-15","-4.2748313517574332E-1","3.1799025688939286E-3","3.0137620503034999E+0","4.3105203911253156E+0","1.9107044632063097E+1","1.2789015460047700E+2","1.215058560962404E-2"
"1092","1.2199685664983562E+0","1.7809904753037287E-27","-3.2083285180975303E-16","6.0794893380054360E-15","-4.2747973834303299E-1","3.6390032018992504E-3","3.0137603586928798E+0","4.3105238730362059E+0","1.9107060066168671E+1","1.2789174258563000E+2","1.215058560962404E-2"
"1091","1.2199661483788684E+0","9.8692938469547014E-28","-2.4945487792522882E-16","1.1085960935860227E-15","-4.2747588418521199E-1","4.0980930162732342E-3","3.0137584393860402E+0","4.3105278236693776E+0","1.9107077577957845E+1","1.2789354429967401E+2","1.215058560962404E-2"
